21139,12,14,19,23,24,27,01, ,"1,090,940,461",14,"7,490,724",193,"225,842","531,219,172",2021-12-05
21138,11,14,15,16,27,32,09, ,"1,065,047,563",20,"5,685,347",123,"139,298","486,491,502",2021-12-02
21137,03,07,10,14,21,24,01, ,"1,127,353,431",19,"6,420,588",274,"123,134","474,456,734",2021-11-30
21136,02,06,09,15,19,28,16, ,"1,148,127,692",10,"7,908,192",319,"113,957","517,068,910",2021-11-28
21135,03,10,17,19,21,31,04, ,"1,118,152,404",1,"10,000,000",124,"303,985","486,663,630",2021-11-25
21134,01,02,16,19,25,31,08, ,"1,015,069,784",11,"7,491,866",109,"314,340","472,467,398",2021-11-23
21133,01,03,12,19,27,31,10, ,"994,690,824",12,"7,465,121",171,"216,238","511,607,016",2021-11-21
21132,01,04,06,14,20,28,08, ,"973,341,811",6,"7,775,391",171,"121,727","490,071,244",2021-11-18
21131,08,11,18,19,20,24,01, ,"957,547,844",6,"9,453,797",116,"287,961","465,860,738",2021-11-16
21130,08,09,15,24,26,30,06, ,"914,060,182",12,"6,336,861",155,"129,373","398,037,824",2021-11-14
21129,04,15,21,27,28,29,10, ,"929,943,762",5,"7,512,285",139,"112,962","365,299,936",2021-11-11
21128,05,17,20,21,23,33,04, ,"920,399,839",3,"10,000,000",66,"369,015","349,441,520",2021-11-09
21127,07,15,16,20,27,29,07, ,"877,334,837",10,"6,816,913",96,"236,577","365,976,552",2021-11-07
21126,19,20,23,27,28,31,01, ,"877,369,730",6,"8,689,696",90,"307,474","358,964,852",2021-11-04
21125,14,19,20,23,24,31,09, ,"846,489,745",4,"8,898,474",84,"232,052","354,978,672",2021-11-02
21124,01,03,18,22,29,32,02, ,"823,606,529",8,"7,956,250",117,"252,670","394,848,530",2021-10-31
21123,06,14,15,19,29,31,05, ,"798,569,016",6,"8,473,913",207,"125,866","366,471,258",2021-10-28
21122,04,05,12,15,18,28,07, ,"771,249,437",5,"8,231,591",91,"221,949","360,872,924",2021-10-26
21121,04,05,12,16,22,30,15, ,"751,815,051",7,"7,721,874",205,"116,177","390,361,524",2021-10-24
21120,01,07,08,12,13,18,05, ,"734,418,962",40,"5,268,563",496,"27,072","355,518,696",2021-10-21
21119,03,09,10,11,28,29,13, ,"904,876,996",15,"6,354,639",356,"71,346","356,935,346",2021-10-19
21118,02,06,14,18,20,31,13, ,"923,998,119",6,"8,460,209",126,"205,964","386,079,710",2021-10-17
21117,03,05,17,21,27,33,04, ,"896,904,658",10,"6,782,803",101,"220,644","358,589,610",2021-10-14
21116,06,14,17,18,31,33,06, ,"897,877,549",3,"10,000,000",46,"552,161","355,338,790",2021-10-12
21115,02,10,12,15,24,27,08, ,"851,679,247",5,"7,857,682",100,"178,605","380,172,848",2021-10-10
21114,04,06,08,14,24,27,02, ,"837,386,111",3,"10,000,000",177,"158,159","337,378,334",2021-10-07
21113,04,07,10,22,27,30,02, ,"783,403,562",12,"6,380,290",231,"89,629","293,434,838",2021-10-05
21112,05,06,21,25,28,33,07, ,"797,853,981",22,"5,394,421",229,"47,364","370,338,224",2021-09-30
21111,17,20,22,23,26,28,06, ,"883,991,506",3,"10,000,000",96,"219,919","358,360,092",2021-09-28
21110,10,13,15,24,31,32,02, ,"850,654,756",5,"9,736,534",246,"120,338","394,569,218",2021-09-26
21109,02,03,10,17,20,26,16, ,"810,527,410",4,"9,492,827",132,"170,182","366,715,360",2021-09-23
21108,11,15,18,24,26,32,09, ,"781,106,313",5,"8,478,207",118,"184,227","339,998,838",2021-09-21
21107,02,03,17,19,25,30,01, ,"758,280,964",7,"7,867,703",151,"166,174","367,139,964",2021-09-19
21106,01,04,07,14,30,31,03, ,"738,077,667",7,"8,130,452",150,"182,609","364,122,996",2021-09-16
21105,10,14,15,22,27,32,09, ,"712,816,451",9,"6,993,977",174,"128,920","357,292,170",2021-09-14
21104,01,07,17,20,22,28,15, ,"708,465,505",6,"9,475,659",101,"332,350","397,369,092",2021-09-12
21103,10,13,15,25,29,30,15, ,"664,617,126",2,"10,000,000",122,"233,872","369,736,978",2021-09-09
21102,05,09,15,24,27,30,09, ,"599,019,763",34,"5,285,653",236,"51,441","357,853,464",2021-09-07
21101,02,04,12,22,29,31,01, ,"742,311,198",6,"8,682,830",107,"258,142","393,612,094",2021-09-05
21100,07,09,12,13,14,29,16, ,"711,544,497",8,"7,583,366",170,"151,962","364,068,238",2021-09-02
21099,09,11,17,18,20,27,15, ,"694,710,436",7,"7,942,916",278,"92,627","353,159,630",2021-08-31
21098,01,10,13,18,26,32,05, ,"673,059,288",4,"10,000,000",141,"178,834","390,403,928",2021-08-29
21097,03,11,12,13,25,28,12, ,"637,412,452",45,"5,323,421",359,"50,675","355,020,594",2021-08-26
21096,01,07,11,14,15,26,11, ,"822,388,985",13,"5,640,531",91,"114,380","349,161,898",2021-08-24
21095,08,12,17,24,27,28,13, ,"864,489,999",4,"10,000,000",140,"201,541","384,516,464",2021-08-22
21094,09,11,24,25,28,33,15, ,"819,842,497",1,"10,000,000",101,"273,512","353,340,702",2021-08-19
21093,05,11,15,23,28,33,03, ,"746,968,208",5,"8,646,623",229,"99,525","346,398,722",2021-08-17
21092,02,07,08,10,12,31,03, ,"721,827,132",4,"9,066,769",154,"132,037","382,276,564",2021-08-15
21091,04,06,16,24,26,33,16, ,"697,092,670",4,"10,000,000",102,"258,058","352,636,492",2021-08-12
21090,05,06,12,14,27,28,08, ,"658,126,685",19,"5,534,608",199,"63,803","340,567,382",2021-08-10
21089,01,02,07,13,23,24,12, ,"725,193,394",51,"5,338,932",659,"32,787","378,094,626",2021-08-08
21088,04,12,15,16,19,26,06, ,"932,658,139",7,"7,133,062",165,"113,116","339,080,722",2021-08-05
21087,02,13,16,19,23,24,04, ,"926,596,691",10,"6,520,555",219,"86,789","335,386,836",2021-08-03
21086,06,08,10,14,28,29,01, ,"934,781,421",1,"10,000,000",123,"214,082","363,965,626",2021-08-01
21085,05,06,07,11,14,20,02, ,"865,785,162",4,"9,473,926",189,"118,357","343,883,552",2021-07-29
21084,05,07,09,11,21,28,01, ,"836,571,971",21,"5,814,345",182,"117,453","338,765,612",2021-07-27
21083,04,09,11,25,28,33,04, ,"894,543,509",25,"5,173,874",276,"19,686","367,542,044",2021-07-25
21082,03,06,11,13,26,32,05, ,"1,007,589,655",7,"7,348,639",161,"127,643","344,368,726",2021-07-22
21081,01,03,05,18,22,23,01, ,"997,378,346",4,"10,000,000",135,"207,725","344,437,194",2021-07-20
21080,05,08,22,23,24,29,09, ,"953,249,373",12,"6,122,048",119,"141,434","376,533,622",2021-07-18
21079,01,03,10,24,28,29,13, ,"976,221,781",8,"7,301,888",95,"242,304","345,574,370",2021-07-15
21078,04,06,15,26,27,31,12, ,"965,580,237",6,"7,800,858",132,"159,139","341,551,308",2021-07-13
21077,08,15,17,25,27,30,10, ,"949,366,069",13,"6,434,628",112,"208,149","377,616,968",2021-07-11
21076,03,09,21,23,30,32,06, ,"963,078,086",4,"7,982,765",87,"171,423","347,734,992",2021-07-08
21075,12,15,16,21,22,29,01, ,"950,267,665",2,"10,000,000",55,"435,092","347,517,338",2021-07-06
21074,04,05,09,14,25,27,07, ,"898,477,373",14,"5,822,076",163,"88,259","382,266,836",2021-07-04
21073,01,06,18,22,24,25,08, ,"936,827,442",4,"9,536,636",83,"273,291","353,932,932",2021-07-01
21072,01,09,15,16,19,21,15, ,"906,924,437",3,"10,000,000",105,"275,206","351,515,940",2021-06-29
21071,01,07,24,31,32,33,08, ,"850,234,438",6,"7,393,944",75,"239,394","384,399,388",2021-06-27
21070,01,05,11,15,16,29,15, ,"840,734,349",6,"8,972,728",179,"166,455","356,032,100",2021-06-24
21069,06,11,18,20,23,26,05, ,"805,184,330",5,"8,297,648",130,"158,540","348,547,620",2021-06-22
21068,04,14,18,24,31,32,15, ,"784,841,657",7,"8,662,562",232,"138,135","381,950,996",2021-06-20
21067,01,11,19,23,25,29,09, ,"749,337,326",6,"7,464,865",61,"303,057","352,986,918",2021-06-17
21066,02,06,19,26,30,33,15, ,"738,667,046",14,"6,436,433",145,"173,362","343,529,368",2021-06-15
21065,01,04,08,19,29,33,16, ,"753,364,365",3,"10,000,000",82,"384,177","362,527,724",2021-06-13
21064,04,06,08,15,16,18,16, ,"688,856,687",4,"10,000,000",112,"242,377","353,338,262",2021-06-10
21063,04,05,06,09,23,24,09, ,"647,417,696",16,"5,000,000",106,"6,000","370,142,008",2021-06-08
21062,12,13,15,20,22,25,10, ,"727,417,696",6,"8,804,175",67,"425,840","405,763,536",2021-06-06
21061,04,09,12,18,20,23,01, ,"694,648,802",4,"10,000,000",127,"237,150","376,779,952",2021-06-03
21060,10,11,17,20,29,30,15, ,"644,294,438",6,"8,356,965",163,"154,461","365,484,344",2021-06-01
21059,01,09,11,18,32,33,14, ,"618,904,511",1,"10,000,000",91,"397,078","407,754,588",2021-05-30
21058,09,11,13,18,19,28,14, ,"520,502,015",5,"9,893,453",96,"318,584","382,666,074",2021-05-27
21057,05,06,09,17,25,33,16, ,"478,217,025",6,"8,882,850",179,"162,689","379,559,152",2021-05-25
21056,08,21,22,23,29,32,01, ,"444,149,990",10,"7,488,306",215,"144,669","410,076,324",2021-05-23
21055,03,11,12,16,22,28,10, ,"425,721,551",29,"5,553,793",206,"97,451","376,647,950",2021-05-20
21054,07,13,21,22,24,31,02, ,"526,556,537",4,"10,000,000",83,"374,991","371,689,954",2021-05-18
21053,07,10,14,16,24,33,16, ,"473,183,576",3,"10,000,000",84,"355,480","398,009,388",2021-05-16
21052,03,04,06,19,21,30,14, ,"413,602,410",1,"10,000,000",171,"171,643","376,039,676",2021-05-13
21051,08,09,10,19,27,29,15, ,"335,549,357",10,"6,796,944",309,"72,691","377,624,458",2021-05-11
21050,02,09,10,16,25,28,08, ,"336,133,387",22,"5,598,001",248,"66,310","403,433,980",2021-05-09
21049,04,11,13,22,25,32,01, ,"409,954,275",4,"10,000,000",78,"440,233","375,111,072",2021-05-06
21048,04,15,17,22,29,32,03, ,"346,939,552",2,"10,000,000",64,"394,580","339,198,590",2021-05-04
21047,03,07,13,16,24,29,01, ,"291,180,168",5,"9,419,460",231,"119,574","367,123,752",2021-05-02
21046,05,09,13,21,28,33,06, ,"255,412,592",24,"5,735,971",122,"180,976","377,425,810",2021-04-29
21045,01,04,14,15,17,32,02, ,"326,838,472",6,"8,717,208",86,"324,175","377,279,966",2021-04-27
21044,05,07,14,17,26,28,13, ,"295,504,539",5,"10,000,000",160,"213,373","418,973,684",2021-04-25
21043,02,03,17,18,23,24,01, ,"243,085,282",3,"10,000,000",93,"331,233","389,948,810",2021-04-22
21042,05,09,10,22,25,27,08, ,"180,671,046",26,"5,498,446",275,"58,907","382,918,124",2021-04-20
21041,02,09,18,23,26,32,14, ,"275,032,108",54,"5,307,817",367,"56,614","415,676,146",2021-04-18
21040,02,06,07,24,28,29,16, ,"499,321,280",6,"8,652,104",238,"115,087","385,858,982",2021-04-15
21039,02,08,21,24,29,31,13, ,"469,061,553",7,"7,814,665",105,"234,555","377,513,042",2021-04-13
21038,05,07,09,16,18,27,06, ,"449,879,238",32,"5,502,610",539,"37,299","401,665,288",2021-04-11
21037,13,17,19,24,26,30,12, ,"565,649,555",7,"7,856,624",104,"240,340","374,416,372",2021-04-08
21036,01,02,06,11,21,26,11, ,"545,659,537",12,"6,690,644",137,"185,107","365,524,430",2021-04-06
21035,12,14,18,20,26,28,11, ,"549,868,285",7,"7,844,638",153,"162,683","382,205,894",2021-04-04
21034,04,10,12,18,23,25,01, ,"530,109,002",5,"8,852,481",155,"155,342","377,894,218",2021-04-01
21033,02,12,13,14,31,33,06, ,"502,137,377",7,"8,001,905",98,"268,027","378,842,354",2021-03-30
21032,01,05,08,15,16,30,03, ,"479,350,693",12,"6,977,206",187,"158,599","421,020,572",2021-03-28
21031,06,11,21,25,28,31,07, ,"474,102,879",12,"5,950,364",166,"85,876","389,664,660",2021-03-25
21030,08,09,13,27,29,31,05, ,"502,740,835",7,"8,232,900",143,"197,817","388,490,602",2021-03-23
21029,08,10,15,17,22,30,12, ,"475,507,497",17,"5,716,335",234,"65,051","413,514,858",2021-03-21
21028,11,16,23,26,27,33,05, ,"527,018,817",7,"7,433,674",125,"170,357","387,583,114",2021-03-18
21027,05,07,09,16,20,26,08, ,"515,170,584",23,"5,339,305",391,"24,948","371,997,822",2021-03-16
21026,03,05,13,19,20,25,03, ,"608,709,487",74,"5,079,572",829,"8,878","415,303,494",2021-03-14
21025,06,08,14,17,18,30,11, ,"962,516,400",6,"8,396,506",166,"153,456","370,761,350",2021-03-11
21024,01,04,06,10,11,18,02, ,"936,474,051",5,"9,223,370",139,"189,899","360,465,214",2021-03-09
21023,02,21,22,23,27,28,11, ,"903,402,709",4,"9,744,205",85,"279,070","397,987,234",2021-03-07
21022,10,15,17,25,31,32,06, ,"871,216,452",3,"10,000,000",84,"266,346","361,605,820",2021-03-04
21021,04,08,17,24,28,33,13, ,"834,097,039",19,"5,979,263",155,"150,048","350,734,702",2021-03-02
21020,01,03,06,07,09,11,02, ,"877,930,510",19,"6,085,156",505,"51,034","385,685,036",2021-02-28
21019,12,16,17,24,28,29,08, ,"916,231,105",6,"6,344,519",104,"96,960","351,320,330",2021-02-25
21018,02,08,14,23,25,32,06, ,"924,046,536",3,"10,000,000",128,"193,330","352,299,530",2021-02-23
21017,09,15,18,29,32,33,02, ,"879,807,720",6,"8,959,033",116,"255,972","442,443,732",2021-02-21
21016,03,08,09,13,15,18,10, ,"844,483,666",16,"6,134,153",192,"118,140","447,622,614",2021-02-07
21015,06,14,16,26,28,29,07, ,"874,580,915",6,"7,672,352",93,"215,512","373,264,066",2021-02-04
21014,04,15,21,25,29,33,06, ,"860,487,095",3,"10,000,000",96,"270,821","365,029,152",2021-02-02
21013,06,09,12,16,27,31,06, ,"812,490,648",17,"5,756,403",169,"95,109","403,024,326",2021-01-31
21012,03,06,14,18,20,26,01, ,"862,128,803",17,"5,854,248",218,"83,269","365,486,356",2021-01-28
21011,05,10,16,23,27,33,14, ,"907,192,691",18,"5,425,200",228,"41,960","358,439,884",2021-01-26
21010,01,04,11,19,32,33,05, ,"976,145,268",7,"8,060,622",129,"207,600","394,795,416",2021-01-24
21009,02,04,07,24,25,32,13, ,"952,228,282",4,"10,000,000",57,"502,273","367,324,734",2021-01-21
21008,01,05,07,14,18,33,07, ,"906,339,544",4,"8,728,131",86,"216,751","358,122,646",2021-01-19
21007,02,04,12,21,25,32,16, ,"885,330,100",3,"10,000,000",104,"298,114","389,232,822",2021-01-17
21006,06,08,22,24,25,26,01, ,"822,318,331",10,"7,377,222",194,"153,171","367,900,704",2021-01-14
21005,07,09,14,26,30,31,04, ,"806,944,718",14,"6,353,946",76,"311,764","359,757,108",2021-01-12
21004,02,03,07,08,17,22,15, ,"824,817,771",2,"10,000,000",208,"145,638","396,531,778",2021-01-10
21003,06,09,16,18,22,29,11, ,"753,939,585",5,"9,406,368",136,"202,498","360,514,540",2021-01-07
21002,06,10,13,25,26,32,11, ,"718,352,017",10,"7,105,919",185,"142,291","374,374,440",2021-01-05
21001,02,03,13,18,20,31,11, ,"710,439,245",10,"7,034,106",126,"201,796","411,170,524",2021-01-03
20134,02,09,10,20,22,26,01, ,"704,501,324",48,"5,382,786",275,"83,517","399,565,532",2020-12-31
20133,03,19,22,23,27,29,07, ,"893,973,468",3,"10,000,000",99,"283,877","370,330,222",2020-12-29
20132,01,04,11,12,14,23,04, ,"839,661,890",5,"10,000,000",106,"309,129","425,174,496",2020-12-27
20131,08,19,22,26,27,30,07, ,"791,358,796",10,"6,733,037",139,"155,848","394,370,394",2020-12-24
20130,08,09,11,14,17,29,16, ,"793,700,272",9,"7,096,662",160,"147,421","405,085,034",2020-12-22
20129,01,02,05,15,28,33,04, ,"786,807,887",14,"6,613,195",116,"243,370","428,354,318",2020-12-20
20128,08,10,15,16,23,26,10, ,"794,699,858",14,"6,055,174",137,"134,785","395,094,864",2020-12-17
20127,01,04,18,19,26,31,07, ,"824,075,658",9,"6,838,584",183,"113,027","385,288,238",2020-12-15
20126,03,07,12,14,23,28,11, ,"823,570,698",33,"5,506,107",337,"61,949","423,827,948",2020-12-13
20125,05,12,16,26,30,31,13, ,"942,641,447",8,"8,008,557",162,"185,713","403,248,064",2020-12-10
20124,16,18,19,20,29,33,12, ,"916,453,174",3,"10,000,000",53,"485,568","394,367,604",2020-12-08
20123,01,03,18,19,26,29,03, ,"869,247,735",5,"10,000,000",106,"343,394","442,277,628",2020-12-06
20122,12,15,17,24,26,31,15, ,"810,048,147",7,"8,506,055",484,"63,384","416,050,434",2020-12-03
20121,02,04,06,21,25,29,03, ,"777,556,587",5,"9,656,537",91,"319,817","425,615,038",2020-12-01
20120,01,02,03,04,09,10,12, ,"738,529,199",28,"5,529,239",535,"34,623","470,788,664",2020-11-29
20119,01,09,22,28,32,33,15, ,"837,777,744",12,"6,880,004",117,"241,026","432,978,556",2020-11-26
20118,11,13,19,26,30,33,05, ,"835,737,606",4,"10,000,000",114,"262,410","419,968,358",2020-11-24
20117,07,08,09,10,16,27,07, ,"785,993,086",19,"5,762,819",225,"80,519","460,145,954",2020-11-22
20116,05,06,14,16,19,27,10, ,"841,135,768",9,"6,979,667",172,"129,484","434,234,564",2020-11-19
20115,01,04,12,20,25,32,02, ,"837,138,988",2,"10,000,000",114,"291,499","435,736,254",2020-11-17
20114,01,05,11,24,30,32,03, ,"757,446,327",16,"6,478,657",171,"172,942","476,450,128",2020-11-15
20113,01,03,07,10,22,32,11, ,"772,385,388",7,"5,279,749",114,"21,472","436,471,868",2020-11-12
20112,02,09,12,17,28,32,05, ,"802,000,209",14,"6,657,801",263,"110,309","426,910,448",2020-11-10
20111,06,09,17,22,24,26,16, ,"808,174,858",3,"10,000,000",106,"365,368","459,469,274",2020-11-08
20110,02,06,09,14,22,25,04, ,"721,987,721",9,"6,744,907",102,"192,453","365,150,166",2020-11-05
20109,06,13,16,20,23,32,13, ,"723,801,259",23,"5,708,816",133,"153,221","358,593,188",2020-11-03
20108,10,12,15,17,23,32,05, ,"793,968,638",18,"5,973,588",123,"178,095","398,129,794",2020-11-01
20107,03,09,11,24,25,28,16, ,"835,776,030",5,"9,250,245",185,"143,589","372,099,740",2020-10-29
20106,02,04,11,15,18,28,10, ,"802,335,158",14,"5,906,931",123,"129,034","362,151,946",2020-10-27
20105,06,14,19,20,22,24,01, ,"837,418,291",6,"8,700,739",117,"237,226","399,513,718",2020-10-25
20104,04,08,10,16,27,29,09, ,"806,356,097",9,"6,582,593",102,"174,550","371,069,028",2020-10-22
20103,04,09,10,22,28,32,08, ,"812,186,919",13,"6,122,197",136,"134,086","363,566,614",2020-10-20
20102,09,10,19,25,26,29,08, ,"837,068,374",73,"5,028,416",472,"6,000","385,810,668",2020-10-18
20101,10,17,24,25,28,30,15, ,"1,196,363,693",7,"8,298,609",109,"264,796","360,073,112",2020-10-15
20100,01,07,15,16,20,23,07, ,"1,167,865,459",9,"6,279,386",119,"120,950","352,785,364",2020-10-13
20099,05,06,11,12,15,30,12, ,"1,181,200,651",7,"7,301,898",258,"78,068","390,640,850",2020-10-11
20098,06,08,11,22,25,33,02, ,"1,171,889,114",7,"8,077,008",172,"156,533","347,585,130",2020-10-08
20097,02,08,21,25,26,30,10, ,"1,147,656,700",22,"5,489,356",418,"32,194","352,372,566",2020-10-06
20096,01,20,23,26,27,32,15, ,"1,228,050,661",8,"8,190,972",57,"559,819","356,787,262",2020-09-29
20095,03,09,16,17,20,26,02, ,"1,197,849,256",6,"7,745,143",283,"72,751","387,062,108",2020-09-27
20094,10,15,17,27,29,31,08, ,"1,182,554,395",2,"10,000,000",57,"248,955","357,043,412",2020-09-24
20093,04,05,10,13,15,19,15, ,"1,159,982,996",4,"10,000,000",110,"261,408","364,874,692",2020-09-22
20092,01,06,12,18,22,24,03, ,"1,113,718,036",6,"8,324,368",160,"155,829","394,714,558",2020-09-20
20091,01,09,11,12,16,19,16, ,"1,088,865,952",11,"6,771,891",120,"203,029","362,307,424",2020-09-17
20090,02,21,23,26,31,32,06, ,"1,090,266,240",6,"8,569,539",43,"622,594","357,200,726",2020-09-15
20089,02,14,16,21,29,30,10, ,"1,061,368,833",11,"7,200,974",113,"267,817","388,734,662",2020-09-13
20088,01,06,12,26,29,30,12, ,"1,049,789,346",14,"6,377,823",175,"137,782","359,763,320",2020-09-10
20087,11,15,20,23,25,33,10, ,"1,066,743,130",5,"7,940,558",44,"417,692","351,393,474",2020-09-08
20086,02,04,06,15,24,27,06, ,"1,051,310,454",7,"7,452,652",117,"183,424","383,150,704",2020-09-06
20085,01,02,05,09,19,24,16, ,"1,039,096,893",3,"10,000,000",135,"175,949","349,243,256",2020-09-03
20084,03,07,16,17,23,30,07, ,"997,837,500",15,"5,641,465",265,"45,386","340,223,360",2020-09-01
20083,01,19,25,26,30,31,12, ,"1,046,377,044",7,"7,916,189",96,"265,798","375,628,538",2020-08-30
20082,02,08,11,17,21,30,09, ,"1,025,240,399",22,"5,094,481",320,"8,119","339,738,944",2020-08-27
20081,01,05,13,14,27,33,15, ,"1,129,524,256",11,"7,057,769",108,"261,984","341,884,184",2020-08-25
20080,14,15,18,22,31,33,01, ,"1,122,276,717",2,"10,000,000",70,"397,581","375,199,530",2020-08-23
20079,05,12,20,21,22,29,14, ,"1,058,784,536",6,"8,578,055",183,"146,641","347,031,342",2020-08-20
20078,03,11,14,16,21,32,04, ,"1,029,746,619",1,"10,000,000",76,"347,407","339,766,446",2020-08-18
20077,03,10,16,21,25,27,12, ,"960,537,693",27,"5,841,121",326,"87,079","376,430,570",2020-08-16
20076,10,15,16,18,20,27,06, ,"1,033,084,399",8,"6,895,903",82,"231,207","346,015,916",2020-08-13
20075,03,11,13,20,24,30,16, ,"1,031,374,526",1,"10,000,000",143,"155,685","342,593,198",2020-08-11
20074,04,08,09,13,19,33,12, ,"974,585,503",5,"8,629,293",107,"211,991","375,478,220",2020-08-09
20073,05,07,11,13,27,29,03, ,"949,682,723",8,"7,005,129",129,"155,436","344,984,126",2020-08-06
20072,06,08,10,15,17,26,04, ,"945,569,865",7,"7,525,472",104,"212,479","335,806,408",2020-08-04
20071,09,11,12,13,22,23,08, ,"931,954,524",12,"6,156,653",133,"130,449","363,190,440",2020-08-02
20070,01,02,04,06,19,21,15, ,"953,784,945",23,"5,829,067",100,"238,356","343,442,594",2020-07-30
20069,03,09,10,13,18,26,04, ,"1,016,346,427",7,"7,827,856",99,"249,936","343,151,528",2020-07-28
20068,12,16,21,26,27,32,10, ,"996,910,195",17,"5,430,373",128,"71,448","376,630,286",2020-07-26
20067,04,07,09,23,27,30,08, ,"1,061,790,227",10,"6,979,941",140,"176,780","353,153,516",2020-07-23
20066,02,09,13,17,26,28,07, ,"1,057,341,835",15,"6,006,277",137,"137,720","352,149,702",2020-07-21
20065,09,15,18,21,23,26,08, ,"1,090,832,907",5,"8,838,315",89,"269,544","381,062,334",2020-07-19
20064,01,03,07,21,27,32,01, ,"1,063,056,063",1,"10,000,000",77,"351,356","356,057,386",2020-07-16
20063,12,15,16,22,29,32,14, ,"991,892,696",3,"10,000,000",103,"289,264","357,076,054",2020-07-14
20062,10,14,17,22,26,27,05, ,"932,509,919",5,"8,901,954",94,"259,438","391,827,962",2020-07-12
20061,08,17,24,26,27,31,04, ,"903,858,043",1,"10,000,000",91,"281,269","366,447,904",2020-07-09
20060,05,09,14,20,24,30,08, ,"837,071,557",38,"5,238,209",554,"20,424","356,937,202",2020-07-07
20059,02,04,10,17,22,25,14, ,"1,002,178,704",4,"10,000,000",190,"147,308","386,807,160",2020-07-05
20058,01,03,11,12,19,26,07, ,"958,212,978",18,"5,569,985",136,"94,299","356,052,050",2020-07-02
20057,09,14,21,23,26,32,03, ,"1,019,998,705",3,"10,000,000",113,"193,145","349,147,892",2020-06-30
20056,02,05,08,12,26,31,14, ,"984,522,456",17,"6,280,167",186,"146,255","380,233,782",2020-06-28
20055,01,05,07,23,28,30,12, ,"1,009,674,637",14,"5,761,052",198,"67,264","327,140,694",2020-06-25
20054,03,10,19,25,26,31,02, ,"1,050,374,135",11,"6,596,678",210,"104,544","338,817,016",2020-06-23
20053,02,14,15,16,32,33,01, ,"1,057,074,616",19,"6,277,278",360,"84,264","381,666,534",2020-06-21
20052,02,08,13,29,32,33,15, ,"1,085,336,824",2,"10,000,000",53,"568,303","352,815,504",2020-06-18
20051,03,06,08,11,19,28,08, ,"1,014,976,572",23,"5,442,583",268,"47,478","342,968,302",2020-06-16
20050,04,09,17,20,32,33,15, ,"1,101,983,169",5,"9,664,099",90,"323,895","379,409,292",2020-06-14
20049,01,07,09,12,18,22,04, ,"1,062,851,807",7,"7,652,110",140,"165,756","355,402,476",2020-06-11
20048,12,14,18,23,30,32,02, ,"1,046,798,674",6,"8,364,818",75,"336,481","351,604,616",2020-06-09
20047,04,10,17,19,28,32,01, ,"1,021,279,165",10,"7,200,661",140,"196,487","382,084,220",2020-06-07
20046,13,19,25,26,27,32,08, ,"1,010,760,962",7,"6,855,509",87,"186,617","350,122,868",2020-06-04
20045,02,03,15,21,22,33,16, ,"1,010,042,406",16,"6,075,531",115,"187,048","348,295,556",2020-06-02
20044,07,08,16,17,19,24,07, ,"1,042,719,025",10,"6,803,090",107,"210,641","379,328,476",2020-05-31
20043,01,11,24,25,27,30,07, ,"1,043,134,035",5,"7,928,059",64,"285,943","360,394,276",2020-05-28
20042,02,06,07,11,14,31,03, ,"1,027,873,219",5,"8,415,115",98,"217,800","345,472,844",2020-05-26
20041,06,07,16,22,24,25,13, ,"1,005,915,378",2,"10,000,000",102,"255,217","372,422,582",2020-05-24
20040,01,06,12,16,19,21,04, ,"947,818,891",5,"8,416,563",92,"232,103","341,533,118",2020-05-21
20039,02,09,10,11,16,29,02, ,"925,841,149",9,"6,952,125",166,"132,297","341,609,556",2020-05-19
20038,01,06,07,18,23,24,15, ,"922,526,038",15,"6,276,646",317,"75,511","374,760,420",2020-05-17
20037,01,04,11,13,17,24,15, ,"944,864,355",6,"6,810,277",65,"208,878","350,126,486",2020-05-14
20036,07,09,16,22,24,32,06, ,"944,994,783",3,"10,000,000",104,"204,187","346,455,736",2020-05-12
20035,10,14,24,25,28,33,11, ,"911,288,358",4,"9,777,104",97,"246,242","371,811,232",2020-05-10
20034,02,08,15,16,26,32,03, ,"878,740,204",11,"6,780,706",182,"134,531","340,793,680",2020-05-07
20033,07,10,12,21,31,32,01, ,"879,873,846",4,"10,000,000",97,"263,480","320,555,362",2020-05-05
20032,03,11,13,14,15,26,13, ,"843,200,936",11,"6,588,951",135,"161,837","338,904,002",2020-05-03
20031,02,05,09,15,16,27,09, ,"850,135,149",14,"5,603,722",310,"34,081","323,903,392",2020-04-30
20030,17,18,21,29,30,32,03, ,"896,891,829",1,"10,000,000",74,"322,591","327,786,632",2020-04-28
20029,01,12,18,20,30,32,05, ,"835,276,431",7,"7,432,574",63,"337,857","364,268,814",2020-04-26
20028,05,06,15,18,26,32,08, ,"823,449,380",7,"7,465,464",153,"140,998","323,795,596",2020-04-23
20027,12,13,14,24,25,28,06, ,"810,989,197",3,"10,000,000",112,"211,713","324,196,702",2020-04-21
20026,01,04,09,18,19,31,06, ,"769,853,394",3,"10,000,000",106,"181,297","349,633,986",2020-04-19
20025,01,09,10,15,20,29,02, ,"742,200,788",4,"9,977,229",156,"159,526","321,611,812",2020-04-16
20024,10,13,27,28,29,31,08, ,"707,451,262",8,"7,028,971",94,"215,848","317,568,426",2020-04-14
20023,04,05,20,21,30,33,08, ,"702,813,893",6,"7,277,843",107,"159,661","340,318,270",2020-04-12
20022,02,10,20,22,25,30,02, ,"695,229,480",8,"6,761,570",97,"181,605","311,416,184",2020-04-09
